"council_ar","NAME","MYD02SSH_A20170907Av1_v601_7200_3601_uvb__8b.edit"
"100","Aberdeen City",0.00706248816944973
"110","Aberdeenshire",0.00723606603127654
"120","Angus",0.00686212366237021
"130","Argyll and Bute",0.00700709046250947
"150","Clackmannanshire",0.00692201992008719
"170","Dumfries and Galloway",0.00542118343984931
"180","Dundee City",0.0065547047250926
"190","East Ayrshire",0.00654192167868982
"200","East Dunbartonshire",0.0068496672868651
"210","East Lothian",0.00751829003401469
"220","East Renfrewshire",0.00702962260406389
"230","City of Edinburgh",0.00648316135085938
"235","Eilean Siar",0.00683489730090437
"240","Falkirk",0.00648829741466675
"250","Fife",0.0067855754345011
"260","Glasgow City",0.00691317901808968
"270","Highland",0.00704706006820174
"280","Inverclyde",0.00721907235420392
"290","Midlothian",0.00692228890454246
"300","Moray",0.00711900698357397
"310","North Ayrshire",0.00731114100606377
"320","North Lanarkshire",0.00675629331951845
"330","Orkney Islands",0.00666668511800843
"340","Perth and Kinross",0.0071382856298202
"350","Renfrewshire",0.00706824928911813
"355","Scottish Borders",0.00652268363692109
"360","Shetland Islands",0.00837831301069954
"370","South Ayrshire",0.00571439050587507
"380","South Lanarkshire",0.0061478295049057
"390","Stirling",0.00734966136674858
"395","West Dunbartonshire",0.00665009793524058
"400","West Lothian",0.00637467063981509
