"council_ar","NAME","MYD02SSH_A20170922Av1_v601_7200_3601_uvb__8b.edit"
"100","Aberdeen City",0.00566633503199283
"110","Aberdeenshire",0.00561669531502074
"120","Angus",0.00559776373658688
"130","Argyll and Bute",0.00556496019248934
"150","Clackmannanshire",0.00564068109770981
"170","Dumfries and Galloway",0.00594194590473078
"180","Dundee City",0.00579284377034889
"190","East Ayrshire",0.00563875185842063
"200","East Dunbartonshire",0.00525241742081438
"210","East Lothian",0.00553676362294756
"220","East Renfrewshire",0.0056670726867276
"230","City of Edinburgh",0.00552965509152149
"235","Eilean Siar",0.0049968857460822
"240","Falkirk",0.00537188766263172
"250","Fife",0.00571289592093816
"260","Glasgow City",0.00545560913809411
"270","Highland",0.00551240266738705
"280","Inverclyde",0.00529429614319524
"290","Midlothian",0.00546712196377228
"300","Moray",0.00545365076195377
"310","North Ayrshire",0.00558648459521217
"320","North Lanarkshire",0.00550651493596001
"330","Orkney Islands",0.00510333819306657
"340","Perth and Kinross",0.00563979624251523
"350","Renfrewshire",0.00547177943229775
"355","Scottish Borders",0.00545577982745794
"360","Shetland Islands",0.00396405613786492
"370","South Ayrshire",0.00569603605395312
"380","South Lanarkshire",0.00556424796355973
"390","Stirling",0.00564559250759183
"395","West Dunbartonshire",0.00562943098062713
"400","West Lothian",0.00551110860785486
