"council_ar","NAME","MYD02SSH_A20170919Av1_v601_7200_3601_uvb__8b.edit"
"100","Aberdeen City",0.00425525917793901
"110","Aberdeenshire",0.00691404342728227
"120","Angus",0.00851625516925932
"130","Argyll and Bute",0.00798618639081142
"150","Clackmannanshire",0.00976458817700184
"170","Dumfries and Galloway",0.00894569015365439
"180","Dundee City",0.00974262261884691
"190","East Ayrshire",0.00751840589965675
"200","East Dunbartonshire",0.00984372385036313
"210","East Lothian",0.00794042738043794
"220","East Renfrewshire",0.00775327380769409
"230","City of Edinburgh",0.00834687648603673
"235","Eilean Siar",0.00613973705325157
"240","Falkirk",0.0113020823793014
"250","Fife",0.00836416217245732
"260","Glasgow City",0.0101928597187049
"270","Highland",0.00611342194535487
"280","Inverclyde",0.00884287412226279
"290","Midlothian",0.00806239533022409
"300","Moray",0.00737615202164619
"310","North Ayrshire",0.00903120907498619
"320","North Lanarkshire",0.00874628883760825
"330","Orkney Islands",0.00445868004467397
"340","Perth and Kinross",0.00802912800881263
"350","Renfrewshire",0.00802701516582419
"355","Scottish Borders",0.00930646524685395
"360","Shetland Islands",0.00453281494062232
"370","South Ayrshire",0.00843223314720871
"380","South Lanarkshire",0.00835502526583201
"390","Stirling",0.00842515640304122
"395","West Dunbartonshire",0.00745388686406968
"400","West Lothian",0.00836306607576969
