"council_ar","NAME","MYD02SSH_A20170923Av1_v601_7200_3601_uvb__8b.edit"
"100","Aberdeen City",0.00299311140766961
"110","Aberdeenshire",0.00294642041931728
"120","Angus",0.00347336647633663
"130","Argyll and Bute",0.00350433779552809
"150","Clackmannanshire",0.00378176320049357
"170","Dumfries and Galloway",0.00391407579259229
"180","Dundee City",0.00389612865794169
"190","East Ayrshire",0.00387984323359867
"200","East Dunbartonshire",0.00366130901015568
"210","East Lothian",0.00380187571439927
"220","East Renfrewshire",0.00369827214035055
"230","City of Edinburgh",0.00361834472455264
"235","Eilean Siar",0.00291936217022866
"240","Falkirk",0.00377262268257931
"250","Fife",0.00378290146522822
"260","Glasgow City",0.0037059384723156
"270","Highland",0.00272672704872205
"280","Inverclyde",0.00349682663286585
"290","Midlothian",0.00362391830047642
"300","Moray",0.00271895816050911
"310","North Ayrshire",0.00353492489940903
"320","North Lanarkshire",0.0037714790117013
"330","Orkney Islands",0.00250615624007723
"340","Perth and Kinross",0.00339899173210391
"350","Renfrewshire",0.00356536444508586
"355","Scottish Borders",0.00360390511455201
"360","Shetland Islands",0.00276512128386222
"370","South Ayrshire",0.00398811996745469
"380","South Lanarkshire",0.00375516305169683
"390","Stirling",0.00347222710743764
"395","West Dunbartonshire",0.00367762169393157
"400","West Lothian",0.00349942135766588
